Customer_ID,Customer_Name,Customer_Phone,Customer_Email,Customer_Address
1077,Customer 989,-10559,customer.989.99@example.com,"843 Second St, Phoenix, USA"
1027,Customer 682,-6897,customer.682.66@demo.com,"153 Main St, Phoenix, USA"
1052,Customer 484,-10454,customer.484.3@sample.com,"264 Second St, New York, USA"
1074,Customer 483,-4913,customer.483.31@example.com,"629 Third St, Los Angeles, USA"
1061,Customer 757,-5788,customer.757.80@demo.com,"598 Main St, Los Angeles, USA"
1040,Customer 459,-6987,customer.459.35@demo.com,"526 Third St, Phoenix, USA"
1076,Customer 417,-3774,customer.417.51@example.com,"755 Park Ave, Phoenix, USA"
1097,Customer 367,-9697,customer.367.34@sample.com,"507 Main St, Houston, USA"
1070,Customer 233,-10136,customer.233.76@sample.com,"671 Second St, New York, USA"
1021,Customer 770,-9583,customer.770.4@example.com,"886 Third St, New York, USA"
1036,Customer 387,-7012,customer.387.11@sample.com,"606 Fourth St, Los Angeles, USA"
1099,Customer 641,-3304,customer.641.70@demo.com,"250 Park Ave, Phoenix, USA"
1020,Customer 278,-4565,customer.278.41@demo.com,"640 Fourth St, Los Angeles, USA"
1096,Customer 649,-5982,customer.649.29@demo.com,"670 Fourth St, Los Angeles, USA"
1018,Customer 871,-8243,customer.871.19@sample.com,"185 Third St, New York, USA"
1025,Customer 744,-9010,customer.744.48@sample.com,"27 Main St, Phoenix, USA"
1006,Customer 375,-9462,customer.375.58@sample.com,"215 Main St, Houston, USA"
1054,Customer 717,-10060,customer.717.83@sample.com,"784 Second St, Los Angeles, USA"
1070,Customer 228,-10165,customer.228.51@example.com,"238 Third St, New York, USA"
1007,Customer 612,-4022,customer.612.65@sample.com,"529 Second St, Houston, USA"
1070,Customer 234,-10809,customer.234.55@demo.com,"522 Third St, Los Angeles, USA"
1092,Customer 50,-9749,customer.50.82@example.com,"917 Main St, New York, USA"
1085,Customer 8,-9708,customer.8.54@example.com,"599 Fourth St, Los Angeles, USA"
1082,Customer 804,-8618,customer.804.74@demo.com,"358 Park Ave, Los Angeles, USA"
1048,Customer 875,-3117,customer.875.23@example.com,"470 Main St, Phoenix, USA"
1011,Customer 336,-8458,customer.336.80@sample.com,"37 Third St, Phoenix, USA"
1026,Customer 54,-6098,customer.54.13@demo.com,"804 Park Ave, Houston, USA"
1099,Customer 169,-4283,customer.169.50@sample.com,"87 Third St, New York, USA"
1059,Customer 801,-5904,customer.801.8@sample.com,"642 Main St, New York, USA"
1093,Customer 853,-4357,customer.853.89@example.com,"88 Park Ave, Chicago, USA"
1018,Customer 211,-2529,customer.211.80@sample.com,"946 Third St, Phoenix, USA"
1038,Customer 493,-4334,customer.493.68@demo.com,"815 Second St, Phoenix, USA"
1005,Customer 916,-2868,customer.916.33@example.com,"657 Main St, Phoenix, USA"
